셀번호,측정시간,장애여부
JNNW38,2024-04-26T10:07:37.000+09:00,MAJOR
YSJSC4007,2024-04-26T14:02:51.000+09:00,MAJOR
JNSC2-3,2024-04-26T14:03:06.000+09:00,MAJOR
JNJE1258,2024-04-26T14:54:53.000+09:00,MAJOR
YSWS0199,2024-04-26T15:31:29.000+09:00,CRITICAL
YSSB2-4,2024-04-26T15:50:09.000+09:00,MAJOR
YSDGHFC0053,2024-04-26T16:18:20.000+09:00,MAJOR
JNBA12,2024-04-27T09:50:25.000+09:00,MAJOR
JNNW16,2024-04-27T14:26:17.000+09:00,MAJOR
JNNW100,2024-04-27T14:59:05.000+09:00,MAJOR
YSWS5-27,2024-04-28T08:36:58.000+09:00,CRITICAL
YSWS5-27,2024-04-28T09:25:40.000+09:00,CRITICAL
YSHS0045,2024-04-28T17:19:38.000+09:00,CRITICAL
YSWS0189,2024-04-28T22:53:28.000+09:00,CRITICAL
YSWS0225-1,2024-04-29T10:01:19.000+09:00,CRITICAL
YSWS0225,2024-04-29T10:01:19.000+09:00,MAJOR
YSDGRFOG0065,2024-04-29T10:32:55.000+09:00,CRITICAL
YSWS0267,2024-04-29T10:43:05.000+09:00,MAJOR
YSHSHFC0008,2024-04-29T10:57:53.000+09:00,MAJOR
YSYW0107,2024-04-29T14:09:33.000+09:00,MAJOR
YSYW0107,2024-04-29T14:23:09.000+09:00,MAJOR
YSWS0267,2024-04-29T14:43:01.000+09:00,MAJOR
JNNW12,2024-04-29T15:15:25.000+09:00,MAJOR
YSJB1-9,2024-04-29T16:11:21.000+09:00,MAJOR
JNJE66,2024-04-29T17:51:55.000+09:00,MAJOR
JNJE66,2024-04-29T18:10:43.000+09:00,MAJOR
JNBA12,2024-04-29T22:02:30.000+09:00,CRITICAL
YSMMH4004,2024-04-30T02:02:05.000+09:00,CRITICAL
YSMMH5006,2024-04-30T02:02:05.000+09:00,CRITICAL
YSYW0030,2024-04-30T09:33:27.000+09:00,MAJOR
YSYW0030,2024-04-30T10:01:47.000+09:00,CRITICAL
JNNW12-1,2024-04-30T10:02:10.000+09:00,MAJOR
JNNW12-1,2024-04-30T10:13:37.000+09:00,MAJOR
JNNW12,2024-04-30T10:15:16.000+09:00,MAJOR
JNNW12,2024-04-30T10:25:09.000+09:00,MAJOR
JNNW34,2024-04-30T12:39:07.000+09:00,MAJOR
JNSC2-3,2024-04-30T12:40:27.000+09:00,MAJOR
JNSC2-3,2024-04-30T12:43:20.000+09:00,MAJOR
JNSC2-3,2024-04-30T12:46:31.000+09:00,MAJOR
JNSC2-3,2024-04-30T12:49:06.000+09:00,MAJOR
JNSC2-3,2024-04-30T13:00:37.000+09:00,MAJOR
JNSC2-3,2024-04-30T13:06:37.000+09:00,MAJOR
YSWS8-5,2024-04-30T14:31:26.000+09:00,MAJOR
YSYW0009,2024-04-30T14:44:35.000+09:00,MAJOR
YSSB1-11,2024-04-30T16:54:56.000+09:00,MAJOR
